"";"domain";"supergroup";"class";"order";"family";"genus";"species"
"OO00182";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_attrantheridium"
"OO00183";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00184";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00185";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00186";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00187";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00188";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00189";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00190";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00191";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00192";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_intermedium"
"OO00193";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00194";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00195";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporales_incertae_sedis";"Phytophthora";"Phytophthora_citricola"
"OO00196";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00197";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00198";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales"
"OO00199";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00200";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00201";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00202";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00203";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00204";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00205";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00206";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales"
"OO00207";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00208";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00209";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00210";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00211";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00212";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00213";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00214";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00215";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales"
"OO00216";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00217";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00218";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00219";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00220";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00221";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"Peronospora";"Peronospora_sp"
"OO00222";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00223";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00224";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_attrantheridium"
"OO00225";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00226";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00227";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00228";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00229";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00230";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00231";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_rostratifingens"
"OO00232";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00233";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00234";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00235";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00236";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00237";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00238";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kunmingense"
"OO00239";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00240";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00241";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00242";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00243";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00244";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00245";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00246";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_heterothallicum"
"OO00247";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00248";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00249";"Eukaryota";"Stramenopiles";"Oomycetes";"Leptomitales";"Leptomitales_incertae_sedis";"unclassified_Leptomitales_incertae_sedis";"unclassified_Leptomitales_incertae_sedis"
"OO00250";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00251";"Eukaryota";"Stramenopiles";"Hyphochytriomycetes";"Hyphochytriomycetes_Class_Incertae_sedis";"Hyphochytriaceae";"Hyphochytrium";"Hyphochytrium_sp"
"OO00252";"Eukaryota";"Stramenopiles";"Oomycetes";"Leptomitales";"Leptomitales_incertae_sedis";"unclassified_Leptomitales_incertae_sedis";"unclassified_Leptomitales_incertae_sedis"
"OO00253";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00254";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00255";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00256";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_attrantheridium"
"OO00257";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00258";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00259";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00260";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00261";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00262";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00263";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00264";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporales_incertae_sedis";"Phytophthora";"Phytophthora_capsici"
"OO00265";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00266";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00267";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00268";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00269";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00270";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00271";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"Pseudoperonospora";"Pseudoperonospora_sp"
"OO00272";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00273";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00274";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00275";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_attrantheridium"
"OO00276";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00277";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00278";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00279";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00280";"Eukaryota";"Stramenopiles";"Oomycetes";"Leptomitales";"Leptomitales_incertae_sedis";"unclassified_Leptomitales_incertae_sedis";"unclassified_Leptomitales_incertae_sedis"
"OO00281";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_heterothallicum"
"OO00282";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00283";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporales_incertae_sedis";"Phytophthora";"unclassified"
"OO00284";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00285";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00286";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00287";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00288";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00289";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00290";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00291";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00292";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00293";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00294";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_attrantheridium"
"OO00295";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00296";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"unclassified_Saprolegniaceae";"unclassified_Saprolegniaceae"
"OO00297";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00298";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00299";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00300";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00301";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00302";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00303";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00304";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_rostratifingens"
"OO00305";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00306";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00307";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00308";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00309";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00310";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00311";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00312";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00313";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00314";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00315";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00316";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00317";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"Saprolegnia";"Saprolegnia_ferax"
"OO00318";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00319";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00320";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00321";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00322";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00323";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00324";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00325";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00326";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00327";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_attrantheridium"
"OO00328";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00329";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00330";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales";"unclassified_Peronosporales"
"OO00331";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00332";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00333";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00334";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00335";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00336";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00337";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00338";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00339";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00340";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00341";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00342";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00343";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00344";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00345";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporales_incertae_sedis";"Phytophthora";"unclassified"
"OO00346";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00347";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00348";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00349";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00350";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00351";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00352";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"unclassified_Saprolegniaceae";"unclassified_Saprolegniaceae"
"OO00353";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00354";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00355";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00356";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00357";"Eukaryota";"Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles";"unclassified_Stramenopiles"
"OO00358";"Eukaryota";"Stramenopiles";"Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes";"unclassified_Oomycetes"
"OO00359";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
"OO00360";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_rostratum"
"OO00361";"Eukaryota";"Stramenopiles";"Oomycetes";"Peronosporales";"Peronosporaceae";"unclassified_Peronosporaceae";"unclassified_Peronosporaceae"
"OO00362";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"unclassified"
"OO00363";"Eukaryota";"Stramenopiles";"Oomycetes";"Saprolegniales";"Saprolegniaceae";"Saprolegnia";"Saprolegnia_ferax"
"OO00364";"Eukaryota";"Stramenopiles";"Oomycetes";"Pythiales";"Pythiaceae";"Pythium";"Pythium_kandovanense"
